Event	ID	Name			Wwise Object Path	Notes
	59705223	Interact_Bed			\Default Work Unit\Interact\Interact_Bed	
	851167962	Interact_BuyFood			\Default Work Unit\Interact\Interact_BuyFood	
	1305133589	Player_Jump			\Default Work Unit\FinalGame\Player_Jump	
	1581818321	Interact_Computer			\Default Work Unit\Interact\Interact_Computer	
	1785205318	Interact_Door			\Default Work Unit\Interact\Interact_Door	
	1866025847	Footstep			\Default Work Unit\Footsteps\Footstep	
	1906373220	Snake_Death			\Default Work Unit\MiniGames\Snake\Snake_Death	
	1931805945	Interact_Fridge			\Default Work Unit\Interact\Interact_Fridge	
	2033111166	PipeGame_Click			\Default Work Unit\MiniGames\PipeGame\PipeGame_Click	
	2464383636	Sine_Wave_Button_Click			\Default Work Unit\MiniGames\SineWaveGame\Sine_Wave_Button_Click	
	2566531806	Interact_PickupFood			\Default Work Unit\Interact\Interact_PickupFood	
	2716678721	Victory			\Default Work Unit\MiniGames\Victory	
	2978301462	MainMenu_ButtonClick			\Default Work Unit\Interact\MainMenu_ButtonClick	
	3468829444	Interact_SlidingDoor			\Default Work Unit\Interact\Interact_SlidingDoor	
	3481096201	Number_Type			\Default Work Unit\MiniGames\NumberMemoryGame\Number_Type	
	3657908075	WhackAMole_Hit			\Default Work Unit\MiniGames\WhackAMole\WhackAMole_Hit	
	3789687639	Interact_Sink			\Default Work Unit\Interact\Interact_Sink	
	3840355556	WhackAMole_BugDeath			\Default Work Unit\MiniGames\WhackAMole\WhackAMole_BugDeath	
	3991942870	Music			\Music\Music	
	4059813333	LazerGame_Mirror			\Default Work Unit\MiniGames\LazerGame\LazerGame_Mirror	
	4242192524	Connect_The_Dots			\Default Work Unit\MiniGames\ConnectTheDots\Connect_The_Dots	

Switch Group	ID	Name			Wwise Object Path	Notes
	1866025847	Footstep			\Default Work Unit\Footstep	

Switch	ID	Name	Switch Group			Notes
	28587383	LivingRoom	Footstep			
	1586158131	Kitchen	Footstep			
	3354297748	Empty	Footstep			

State Group	ID	Name			Wwise Object Path	Notes
	444815956	PlayerLife			\Default Work Unit\PlayerLife	
	3991942870	Music			\Default Work Unit\Music	

State	ID	Name	State Group			Notes
	655265632	Alive	PlayerLife			
	748895195	None	PlayerLife			
	2044049779	Dead	PlayerLife			
	599938019	Music_MainMenu	Music			
	748895195	None	Music			
	1263909134	Music_MiniGame	Music			
	1484596709	Music_FinalGame	Music			
	1564060831	Music_LivingRoom	Music			
	3591285600	Music_Store	Music			

Game Parameter	ID	Name			Wwise Object Path	Notes
	988953028	SFXVolume			\Default Work Unit\Volume\SFXVolume	
	2346531308	MusicVolume			\Default Work Unit\Volume\MusicVolume	
	2918011349	MasterVolume			\Default Work Unit\Volume\MasterVolume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	32611736	Footsteps_Tile_1	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Footsteps_Tile_1_E8099886.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Switch\Footsteps_Kitchen\Footsteps_Tile_1		24660
	49479373	Interact_Bed_1	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Interact_Bed_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interact\Interact_Bed\Interact_Bed_1		240064
	71212125	Footsteps_Tile_5	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Footsteps_Tile_5_C51BD02C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Switch\Footsteps_Kitchen\Footsteps_Tile_5		24660
	75059573	mountain-trials	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\mountain-trials_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music_Switch_Container\Music_MiniGame\mountain-trials\mountain-trials		7408864
	91133514	FinalGame_Jump_5	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\FinalGame_Jump_5_7A9AB122.wem		\Actor-Mixer Hierarchy\Default Work Unit\Final Game\Jump\FinalGame_Jump_5		20568
	107999699	Memory_Type_1	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Memory_Type_1_A59DC10B.wem		\Actor-Mixer Hierarchy\Default Work Unit\MiniGames\NumberMemory\Number_Type\Memory_Type_1		32860
	113311989	Victory_FanFare	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Victory_FanFare_4C8D9A09.wem		\Actor-Mixer Hierarchy\Default Work Unit\MiniGames\Victory\Victory_FanFare		297836
	132796796	SineWave_ButtonClick_1	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\SineWave_ButtonClick_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MiniGames\SineWaveGame\SineWaveButtonClick\SineWave_ButtonClick_1		36064
	135011751	Connect_The_Dots_2	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Connect_The_Dots_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MiniGames\ConnectTheDots\ConnectTheDots\Connect_The_Dots_2		24064
	151977708	Snake_Death	E:\Unity\Unity Projects\VimJam2_Repo\VimJam2_Wwise\.cache\Windows\SFX\Snake_Turn_8F8C1F4D.wem		\Actor-Mixer Hierarchy\Default Work Unit\MiniGames\Snake\Snake_Death		50780
